output_idx,weights
0,"[0.060834527015686035, -0.021482650190591812, 0.1461866796016693, -0.1981397122144699, -0.02783588133752346, 0.07961275428533554, 0.20507217943668365, -0.02972354367375374, -0.12598811089992523, 0.07729426771402359, 0.09854089468717575, -0.07871369272470474, 0.02115510031580925, 0.001484569744206965, 0.029858281835913658, 0.0027790272142738104, 0.08782504498958588, 0.036231279373168945, 0.06406092643737793, 0.0766550824046135, -0.010872208513319492, 0.029859580099582672, 0.013426835648715496, 0.0362539179623127, 0.0024956315755844116, 0.02820063941180706, -0.011161040514707565, 0.09421484172344208, 0.09466063976287842, 0.16431497037410736, -0.3749147057533264, -0.168034628033638, -0.16664326190948486, -0.09396886080503464, -0.02997647039592266, -0.06263130158185959, 0.33020541071891785, -0.05803613364696503, 0.10086387395858765, 0.024771390482783318, 0.027162255719304085, 0.1015300378203392, 0.03447404503822327, 0.14969274401664734, 0.11087828874588013, 0.05575892701745033, 0.06402386724948883, 0.11665919423103333, -0.07414150983095169, -0.19251976907253265, -0.01784168928861618, 0.17687056958675385, 0.1476733684539795, 0.04095234349370003, 0.03022392839193344, -0.018519844859838486, 0.03625763952732086, 0.055799901485443115, 0.15014640986919403, 0.04129213094711304, -0.06305026262998581, -0.047180987894535065, -0.16739818453788757, -0.04703890159726143, -0.035116128623485565, 0.047399263828992844, 0.02847232297062874, -0.34770092368125916, 0.18650706112384796, 0.18993575870990753, 0.020767582580447197, -0.028214072808623314, -0.028974393382668495, 0.0694599375128746, 0.028063809499144554, -0.02639779821038246, -0.27217161655426025, -0.16902625560760498, 0.06396450847387314, 0.02262479066848755, 0.024358922615647316, -0.014569236896932125, 0.06646586954593658, -0.08081790059804916, 0.2661586403846741, 0.03587687760591507, -0.006651509087532759, -0.22612325847148895, -0.06717691570520401, 0.02718340791761875, 0.06793364137411118, 0.126890629529953, -0.12386054545640945, 0.11776403337717056, -0.03901442140340805, -0.0821649432182312, -0.0014299449976533651, -0.02640141360461712, -0.014221280813217163, 0.004722801502794027, -0.13341571390628815, -0.200734481215477, 0.07497436553239822, 0.018381735309958458, -0.07491957396268845, -0.13716058433055878, -0.04319803789258003, 0.031498171389102936, 0.16579021513462067, -0.08620975911617279, 0.0339081734418869, 0.06472532451152802, 0.08317016065120697, -0.13305431604385376, -0.03563212603330612, 0.06866972148418427, 0.0870794728398323, -0.03871379420161247, -0.19898515939712524, -0.17327652871608734, -0.15178905427455902, -0.13152796030044556, -0.015278751961886883, 0.1657385528087616, -0.098001629114151, -0.10693122446537018, -0.18765786290168762, 0.014918642118573189]"
1,"[-0.16983360052108765, -0.03549932688474655, 0.10224596410989761, -0.08191300183534622, 0.005677536595612764, -0.1033826395869255, -0.0516170971095562, -0.017505250871181488, 0.10192049294710159, -0.08101724088191986, 0.08605626970529556, 0.0887879952788353, 0.057872842997312546, 0.051206719130277634, 0.12249919027090073, -0.03327947482466698, 0.03500331938266754, -0.030179055407643318, -0.07744589447975159, -0.06514158099889755, -0.04759769141674042, 0.058995962142944336, 0.027123726904392242, 0.050895847380161285, -0.0814574584364891, -0.025822719559073448, -0.06738801300525665, -0.09126634895801544, 0.01511391531676054, -0.1149945929646492, -0.041701022535562515, 0.052410610020160675, -0.053366515785455704, 0.006534101907163858, 0.14002469182014465, -0.02535608410835266, -0.00272364541888237, -0.03484624996781349, 0.1394350677728653, 0.025088585913181305, -0.05087748542428017, 0.08984295278787613, 0.07599426060914993, 0.04645533487200737, 0.07721798121929169, 0.030364345759153366, -0.004022282548248768, 0.062443386763334274, -0.03688884526491165, -0.019644547253847122, -0.005009875632822514, 0.032815609127283096, -0.04293634742498398, -0.07504978775978088, -0.06736046075820923, 0.026467807590961456, -0.08207256346940994, 0.026040980592370033, 0.02131955698132515, 0.0671924278140068, 0.07685790210962296, 0.0016765285981819034, -0.059722017496824265, 0.07831984758377075, 0.009885559789836407, -0.035222314298152924, 0.032947294414043427, 0.08891654014587402, 0.021086441352963448, 0.12054238468408585, 0.04364744946360588, -0.07027935236692429, 0.026979248970746994, -0.06244800612330437, -0.09440668672323227, -0.038708094507455826, 0.10002926737070084, -0.08462692052125931, 0.05866614356637001, -0.07667470723390579, -0.02710149623453617, -0.05523497238755226, -0.0701763704419136, 0.08102714270353317, -0.007246788125485182, -0.03005872666835785, 0.014920000918209553, 0.18124239146709442, -0.073727086186409, -0.029593409970402718, 0.16733582317829132, 0.08928383886814117, 0.12445209920406342, 0.08078199625015259, 0.06967120617628098, -0.026338377967476845, -0.02516881562769413, -0.011859768070280552, 0.04423664137721062, 0.053400687873363495, -0.03963635861873627, 0.00472981296479702, -0.03488233685493469, 0.02179570496082306, -0.04158839210867882, -0.1056673601269722, -0.04046773910522461, 0.02458214946091175, 0.0743597149848938, 0.05001208558678627, 0.05267679691314697, -0.03295057266950607, 0.09286347031593323, -0.13838621973991394, 0.1479302942752838, 0.07517526298761368, -0.07825502753257751, 0.07598302513360977, -0.06144150346517563, -0.04908062890172005, 0.11298627406358719, 0.06565472483634949, 0.02281525544822216, -0.09601091593503952, -0.019634993746876717, -0.11176027357578278, 0.022372057661414146, -0.017715338617563248]"
2,"[0.0377412810921669, -0.02677484042942524, -0.14627742767333984, -0.00968405231833458, 0.23832516372203827, -0.15298345685005188, -0.04106166586279869, -0.025415103882551193, 0.1767796128988266, 0.10046213865280151, -0.008131799288094044, -0.12728643417358398, 0.053142059594392776, 0.07533487677574158, 0.1547512263059616, -0.11341352015733719, 0.14460629224777222, 0.0027386629953980446, -0.06376154720783234, -0.045461125671863556, -0.07515181601047516, -0.09774915874004364, -0.10047679394483566, 0.05623876303434372, -0.004159591160714626, 0.057674337178468704, 0.19600392878055573, 0.07301566004753113, -0.0809711292386055, 0.14137308299541473, -0.03610331937670708, -0.07074423134326935, -0.019366025924682617, -0.0265730582177639, -0.013762233778834343, 0.09435422718524933, -0.06833595037460327, 0.007882954552769661, 0.04059813544154167, 0.045504242181777954, -0.14232470095157623, -0.05186023935675621, 0.02170596644282341, -0.012307949364185333, 0.07228545844554901, -0.0564507320523262, -0.19385945796966553, -0.044562164694070816, 0.07619745284318924, 0.011578721925616264, -0.007741626817733049, -0.0027733587194234133, 0.1628049910068512, 0.1545732021331787, -0.0969766229391098, 0.033269498497247696, 0.02402377314865589, -0.07454663515090942, 0.05180208384990692, 0.05755919963121414, -0.1114022433757782, 0.13167761266231537, 0.1201922595500946, -0.06527315080165863, -0.03133139759302139, 0.033634111285209656, 0.022450251504778862, -0.036204200237989426, 0.13115984201431274, 0.04805312305688858, -0.08872523158788681, 0.28707796335220337, 0.09061452746391296, 0.05749630182981491, 0.1062689796090126, 0.180608868598938, -0.0047148545272648335, -0.2052832692861557, -0.059211332350969315, 0.06662388145923615, -0.002848579315468669, -0.04364028200507164, -0.07067166268825531, -0.20348915457725525, -0.20997145771980286, 0.029563749209046364, 0.0168796144425869, -0.15561577677726746, -0.06672298908233643, 0.02206486463546753, -0.13744021952152252, -0.11285464465618134, -0.14265182614326477, -0.002353714546188712, 0.006441248115152121, 0.03610972687602043, -0.08536248654127121, 0.06912387162446976, -0.08004934340715408, -0.08586648106575012, 0.0010964066023007035, 0.1619614213705063, -0.12302669137716293, -0.012231619097292423, 0.14178845286369324, -0.10777779668569565, -0.010000198148190975, -0.0926540195941925, -0.16830076277256012, -0.1416681706905365, -0.12589837610721588, 0.06264379620552063, -0.12138818204402924, 0.006858776323497295, -0.2206180989742279, -0.0013934532180428505, 0.1794375330209732, -0.04138590767979622, -0.16738492250442505, 0.14351041615009308, 0.1634971648454666, -0.12490949034690857, 0.04707355797290802, 0.14329661428928375, 0.0430152602493763, -0.009611470624804497, 0.14070621132850647, 0.11623478680849075]"
3,"[-0.12315429002046585, -0.01618933491408825, -0.06858006864786148, 0.056525763124227524, -0.006421573460102081, 0.0025163174141198397, -0.022043487057089806, 0.03728124871850014, 0.0945083275437355, -0.01755095273256302, -0.0902034267783165, -0.01680900529026985, -0.05090200901031494, -0.038307785987854004, -0.036915961652994156, 0.040321044623851776, 0.016790203750133514, 0.020890969783067703, -0.02647792547941208, -0.004977131262421608, 0.04053468257188797, -0.059057604521512985, -0.01312350481748581, 0.04820892587304115, -0.04082294553518295, -0.01642344519495964, -0.0028146442491561174, 0.06704424321651459, -0.05134307220578194, -0.07839452475309372, 0.06380712240934372, -0.03878643363714218, -0.04731138050556183, 0.015166441909968853, 0.008502922020852566, 0.05436756834387779, 0.06734268367290497, -0.07820706069469452, 0.0020272124093025923, 0.16021810472011566, -0.10752644389867783, -0.03973139449954033, -0.05972399562597275, 0.11029104143381119, -0.023817794397473335, 0.11555124819278717, 0.00587809830904007, -0.08567982167005539, -0.053110770881175995, 0.05943692848086357, 0.046709101647138596, 0.06192294508218765, 0.013754087500274181, 0.027334507554769516, 0.023910265415906906, -0.10163946449756622, 0.025327159091830254, 0.10656463354825974, 0.042613785713911057, -0.0815303772687912, 0.006712418515235186, 0.014239163137972355, -0.035293884575366974, -0.031026577576994896, 0.00462438864633441, -0.08809316903352737, -0.0622035376727581, 0.14362867176532745, -0.009146729484200478, -0.0009161382331512868, -0.055589377880096436, 0.02688097581267357, 0.06755317747592926, -0.04033687710762024, -0.09843049943447113, -0.15176717936992645, -0.025795212015509605, -0.0370715856552124, -0.015113881789147854, -0.024953750893473625, -0.02229015715420246, 0.10410883277654648, 0.02642153576016426, 0.1237696036696434, 0.06285678595304489, 0.020038355141878128, 0.016210131347179413, -0.08237817883491516, 0.014194020070135593, -0.025711195543408394, 0.04984151944518089, -0.10234509408473969, -0.039701782166957855, 0.031986303627491, 0.027911193668842316, -0.013589255511760712, 0.11036588996648788, 0.04208999127149582, 0.0007384120835922658, 0.04139344394207001, 0.00476656062528491, -0.1446523666381836, -0.07338847219944, 0.02365192584693432, 0.11679200828075409, 0.10240616649389267, -0.0013022423954680562, -0.03493724763393402, -0.04047359153628349, -0.01691318303346634, 0.1249387264251709, 0.0854182094335556, 0.09424082934856415, 0.06098709627985954, 0.08956120908260345, -0.03904805704951286, -0.05912070721387863, -0.07701379060745239, 0.012087659910321236, 0.14574243128299713, -0.08124859631061554, 0.012238319963216782, 0.051580093801021576, 0.06297259032726288, 0.04824696481227875, -0.007043743506073952, 0.030041981488466263, -0.042892470955848694]"
4,"[-0.013009783811867237, -0.07455615699291229, 0.03248952701687813, 0.12080284208059311, -0.11427656561136246, -0.16530412435531616, 0.11619225144386292, -0.04850015044212341, -0.016034284606575966, 0.07738709449768066, 0.26825475692749023, 0.16697858273983002, -0.15372276306152344, -0.029904088005423546, 0.11145907640457153, 0.13623769581317902, -0.17949461936950684, 0.16232441365718842, 0.04412629082798958, -0.03898808732628822, 0.18167676031589508, 0.03243018686771393, -0.20107178390026093, 0.006307616829872131, -0.04773201793432236, -0.012524896301329136, -0.1834086775779724, -0.011888355016708374, 0.3556455969810486, 0.147107794880867, 0.032065704464912415, -0.0714859813451767, -0.0937134325504303, 0.23613518476486206, -0.0904669538140297, -0.03230491280555725, -0.08454584330320358, -0.08704699575901031, -0.051512617617845535, -0.11144667863845825, 0.2547720968723297, -0.22231346368789673, -0.014572427608072758, -0.2834983766078949, -0.14929452538490295, -0.19338975846767426, 0.22141629457473755, -0.043215036392211914, -0.08255944401025772, -0.06938347220420837, 0.018993167206645012, 0.030758587643504143, 0.009974882937967777, 0.07161085307598114, 0.20981986820697784, 0.010474155656993389, -0.013253407552838326, -0.23499754071235657, 0.15200553834438324, -0.09021500498056412, -0.09309536218643188, 0.15852022171020508, 0.1068851575255394, 0.08782049268484116, 0.07259435206651688, -0.05248648300766945, 0.12885682284832, -0.11869940161705017, -0.05755745619535446, -0.014421853236854076, -0.05259380117058754, 0.10185600072145462, 0.05684468895196915, 0.2607842981815338, 0.02870701625943184, 0.2860926687717438, 0.13397802412509918, 0.12528575956821442, 0.11254370957612991, 0.08836889266967773, 0.062371790409088135, -0.07865765690803528, -0.004364196676760912, 0.05342791974544525, 0.25517264008522034, 0.06656301021575928, 0.13573506474494934, -0.06328706443309784, -0.030038170516490936, 0.060409724712371826, 0.12746550142765045, 0.23355476558208466, -0.1374141275882721, 0.02780996263027191, -0.10121756792068481, 0.09190656244754791, 0.3059404194355011, 0.10404282808303833, 0.06910431385040283, 0.008153615519404411, -0.10685011744499207, -0.1750413030385971, 0.20985114574432373, 0.34996774792671204, -0.03724034130573273, -0.1999516487121582, -0.07084904611110687, 0.15821483731269836, 0.13290277123451233, 0.018415044993162155, -0.2422758787870407, 0.11576157063245773, 0.18960902094841003, 0.07836578786373138, 0.23971329629421234, 0.05876636877655983, 0.08924228698015213, -0.05250507965683937, 0.16814477741718292, -0.005749186500906944, -0.16085262596607208, -0.09281318634748459, -0.19653478264808655, 0.18692994117736816, 0.1295376867055893, 0.21302108466625214, -0.12574456632137299, -0.15761999785900116]"
5,"[-0.09714191406965256, -0.0500793494284153, 0.10146043449640274, 0.1585533767938614, -0.035701487213373184, -0.13302943110466003, -0.12902291119098663, -0.05438024178147316, 0.13452833890914917, -0.07205969095230103, 0.030973535031080246, 0.08892438560724258, 0.062403757125139236, 0.056240618228912354, 0.1838352382183075, 0.06051773205399513, 0.08694146573543549, 0.02972874417901039, -0.07762704789638519, -0.09331382811069489, 0.02282273769378662, -0.09200234711170197, 0.18031880259513855, 0.053768787533044815, -0.05587807670235634, 0.01567595638334751, -0.001300374511629343, -0.13674083352088928, -0.12533055245876312, -0.06621456891298294, 0.14816410839557648, -0.06630275398492813, 0.03753751516342163, -0.022843800485134125, -0.06248334422707558, 0.02037840709090233, -0.15779320895671844, -0.11819154024124146, 0.147415891289711, 0.014214296825230122, -0.016315815970301628, 0.20214875042438507, 0.16876649856567383, -0.16431450843811035, 0.00020956248044967651, -0.03122180514037609, 0.0220437403768301, -0.03251543641090393, -0.09793414175510406, 0.0878506675362587, 0.12556064128875732, -0.05831591784954071, 0.0732898861169815, 0.07524769008159637, -0.1472974419593811, -0.015159083530306816, 0.015514734201133251, -0.028525307774543762, 0.0863201841711998, 0.17985676229000092, 0.01572282239794731, 0.18939124047756195, 0.01807987503707409, -0.10254207253456116, -0.012713081203401089, -0.03587234020233154, 0.011239273473620415, 0.28444311022758484, -0.04729988053441048, -0.010352767072618008, 0.03362885117530823, 0.08459871262311935, 0.11647465080022812, -0.17439313232898712, -0.27818331122398376, -0.0021777995862066746, 0.28914937376976013, 0.08707018941640854, 0.07435902208089828, 0.019464049488306046, 0.015009644441306591, 0.0482192225754261, 0.015774359926581383, -0.03552190586924553, -0.156117245554924, -0.14081309735774994, 0.15300045907497406, 0.272504061460495, -0.14725667238235474, 0.12135185301303864, 0.030297312885522842, -0.2920752465724945, 0.24493016302585602, -0.027995968237519264, 0.16210304200649261, 0.021602310240268707, 0.06993341445922852, -0.003057957161217928, -0.04744771122932434, 0.20360273122787476, 0.16907468438148499, 0.049300748854875565, -0.19513177871704102, 0.20325277745723724, 0.020576953887939453, 0.08252164721488953, 0.058954332023859024, -0.06415046751499176, 0.06120536848902702, 0.09725720435380936, -0.04819647595286369, -0.056024856865406036, -0.03555856645107269, -0.0033088838681578636, -0.08238418400287628, -0.08268008381128311, -0.10499119758605957, 0.050769928842782974, 0.04742860794067383, -0.07277187705039978, 0.2110271006822586, 0.12714499235153198, 0.15819284319877625, 0.07206409424543381, -0.10289144515991211, -0.05830651894211769, 0.11727025359869003, -0.12467996776103973]"
6,"[-0.11501990258693695, 0.07805521041154861, -0.02534741908311844, -0.06579610705375671, -0.11195214837789536, -0.004055145662277937, -0.10450790077447891, -0.030601641163229942, 0.1242324560880661, -0.04442472755908966, 0.07199837267398834, 0.1770670861005783, -0.07051359117031097, 0.07258985936641693, 0.10903067141771317, 0.03700750693678856, -0.057054612785577774, 0.16387683153152466, -0.05336007848381996, 0.154538094997406, -0.06645603477954865, -0.10744006186723709, -0.1827133148908615, 0.03742121532559395, 0.07559879124164581, -0.0666666328907013, 0.08482172340154648, -0.013892605900764465, 0.022396421059966087, -0.08474686741828918, -0.0747724249958992, -0.05820707976818085, 0.02126256562769413, -0.01434808224439621, -0.017613524571061134, 0.04013119637966156, -0.054021287709474564, -0.004726087208837271, 0.15076379477977753, 0.12985794246196747, -0.01706068590283394, -0.23020941019058228, -0.014777603559195995, -0.15061548352241516, 0.03284437209367752, -0.007152711972594261, 0.10281464457511902, 0.07280918210744858, -0.06854922324419022, 5.4565030040976126e-06, -0.025574374943971634, -0.0669650062918663, -0.03727704659104347, 0.012921992689371109, 0.041169174015522, -0.004440390504896641, 0.04450858756899834, -0.08338809758424759, 0.10762123018503189, -0.1210298091173172, -0.05818679928779602, 0.023269549012184143, -0.08372905850410461, 0.06442201882600784, 0.11034321039915085, -0.07231605798006058, 0.10647651553153992, -0.03757990524172783, -0.10831046104431152, 0.010553344152867794, -0.22742769122123718, 0.11950568109750748, -0.011328944005072117, 0.001197317149490118, -0.024669891223311424, 0.042418576776981354, 0.09609275311231613, 0.0842481181025505, -0.2704958915710449, 0.15632037818431854, 0.005698137450963259, -0.02004651539027691, 0.0493716262280941, 0.04437907040119171, -0.11741800606250763, -0.1147487610578537, -0.08590064197778702, -0.10903781652450562, 0.0686517134308815, 0.01201242208480835, 0.08455825597047806, 0.02660580910742283, -0.17663387954235077, -0.12614865601062775, -0.22069047391414642, 0.20165474712848663, 0.020644886419177055, 0.02351790852844715, 0.09902680665254593, -0.11236045509576797, -0.12717625498771667, -0.02956444025039673, 0.041698142886161804, 0.06341680139303207, 0.1478612869977951, 0.05975872278213501, 0.05772417411208153, 0.22729605436325073, -0.010507865808904171, -0.12916162610054016, 0.09341026842594147, -0.042829468846321106, 0.10614107549190521, -0.05548720061779022, -0.033023279160261154, -0.01732271909713745, 0.09180429577827454, 0.04819995537400246, 0.20204578340053558, 0.12411721795797348, -0.20351673662662506, -0.015186907723546028, -0.08474503457546234, 0.03947046026587486, 0.12387535721063614, 0.2331039011478424, 0.2000938355922699, -0.06569702923297882]"
7,"[-0.021546225994825363, -0.07148702442646027, -0.08434842526912689, 0.02367749810218811, -0.01233246922492981, 0.04069344699382782, -0.060535967350006104, 0.03425920009613037, -0.0072740791365504265, 0.07639778405427933, -0.05264058709144592, 0.06455100327730179, 0.08989111334085464, -0.046333592385053635, 0.0270850770175457, -0.008980541490018368, -0.02884846366941929, 0.05218737572431564, -0.0861506462097168, 0.1439642757177353, -0.04888300597667694, -0.07746350020170212, -0.10158451646566391, -0.08526640385389328, 0.06505201756954193, 0.13862980902194977, 0.05807089805603027, 0.09461947530508041, 0.022962680086493492, -0.029294969514012337, 0.11834961175918579, -0.10604020208120346, -0.023940742015838623, 0.047376856207847595, 0.030726144090294838, -0.0005740170017816126, 0.055320821702480316, -0.05668582394719124, 0.016586974263191223, -0.033099886029958725, 0.03255034610629082, -0.09166400134563446, -0.10222840309143066, 0.04980730265378952, -0.10731500387191772, -0.07299187034368515, 0.022608736529946327, -0.09434960782527924, -0.06756758689880371, 0.0013238767860457301, -0.059479422867298126, 0.025062445551156998, -0.14837057888507843, 0.08096599578857422, 0.051844723522663116, -0.007955438457429409, 0.08304708451032639, 0.06526325643062592, -0.07498548179864883, -0.08291170001029968, 0.03760688751935959, 0.0348241813480854, -0.02868233248591423, -0.012994902208447456, 0.023747311905026436, 0.00834693107753992, 0.07959706336259842, -0.02307213470339775, -0.043041668832302094, 0.060523100197315216, 0.07535036653280258, -0.026205817237496376, 0.033337272703647614, -0.03565017879009247, -0.004231538623571396, 0.11637422442436218, -0.04092840477824211, 0.1081063374876976, -0.06126708537340164, 0.0414910651743412, 0.0005383461248129606, -0.054345596581697464, 0.03447318822145462, 0.002600617939606309, 0.06723865121603012, -0.0642995610833168, -0.06849168241024017, 0.027944102883338928, 0.11980412155389786, -0.0701184794306755, 0.03341333940625191, 0.02885822393000126, 0.013784356415271759, -0.05786976218223572, -0.02062339335680008, 0.13153037428855896, -0.028267741203308105, -0.04324362054467201, 0.10155721753835678, -0.05585719272494316, -0.014196581207215786, -0.025643646717071533, -0.058601293712854385, 0.007785880006849766, 0.03597129508852959, -0.05363652482628822, -0.07827509939670563, -0.1032586395740509, -0.10041895508766174, -0.021050062030553818, -0.02672189101576805, 0.0649971067905426, 0.09220076352357864, -0.09098245203495026, -0.0030505910981446505, -0.04233456030488014, 0.1319580078125, 0.08805114775896072, 0.04998904839158058, 0.05617738142609596, -0.05459456890821457, -0.07781217992305756, -0.05301764979958534, 0.05582411214709282, 0.01599314622581005, 0.07743268460035324, 0.10585439950227737, 0.012205015867948532]"
8,"[0.24455033242702484, -0.005998663604259491, 0.19307172298431396, 0.08107343316078186, -0.19126474857330322, 0.3504725396633148, -0.22980956733226776, -0.01784311980009079, 0.05338425934314728, -0.18096032738685608, -0.08227913081645966, 0.06674426048994064, 0.07478874176740646, 0.08687114715576172, 0.10102102160453796, 0.12218128144741058, -0.05319638177752495, -0.09701622277498245, -0.016223134472966194, 0.13568083941936493, 0.24431292712688446, 0.0047340174205601215, 0.16574932634830475, 0.05971518158912659, 0.07519795000553131, 0.03636354207992554, -0.2130277007818222, -0.052757252007722855, 0.0886024683713913, -0.34793737530708313, 0.24340954422950745, 0.11522471904754639, -0.03141258284449577, 0.05235624313354492, 0.14444513618946075, -0.013474305160343647, -0.061538487672805786, -0.1220603734254837, 0.161289244890213, 0.01750647835433483, 0.015277445316314697, -0.06373746693134308, 0.016842659562826157, -0.15084044635295868, 0.1666439324617386, -0.18181759119033813, 0.2638542652130127, -0.031714215874671936, -0.08272287994623184, 0.20441223680973053, 0.07159537076950073, -0.2646799385547638, 0.0858042910695076, -0.05574444681406021, 0.08974589407444, -0.3057810366153717, 0.07348523288965225, -0.010301755741238594, 0.06095631420612335, 0.14150695502758026, 0.2058171182870865, -0.21508212387561798, -0.17180386185646057, -0.05228659138083458, 0.16677723824977875, 0.007939280942082405, 0.1597549021244049, 0.4232593774795532, -0.14476323127746582, -0.0857396200299263, 0.22386662662029266, -0.0009232656448148191, 0.003580105723813176, 0.12394652515649796, -0.02234627678990364, -0.24027834832668304, 0.2696002721786499, 0.2575717866420746, -0.027427388355135918, -0.1339484006166458, 0.018252314999699593, -0.10374108701944351, 0.02309938333928585, -0.019291408360004425, 0.059651508927345276, -0.035377100110054016, 0.03636113554239273, -0.013230593875050545, 0.18997476994991302, 0.21066714823246002, -0.01890753023326397, -0.12840652465820312, 0.2937133312225342, -0.2820708453655243, -0.14207963645458221, -0.028087636455893517, 0.06816285103559494, 0.12591370940208435, 0.03890995681285858, 0.2792972922325134, 0.14955870807170868, -0.19392602145671844, 0.14393475651741028, -0.03596038743853569, 0.09432923793792725, 0.12779268622398376, -0.09286598116159439, 0.06846543401479721, 0.1936132162809372, 0.06282039731740952, -0.012045159004628658, -0.10712035000324249, 0.17591531574726105, 0.1814527064561844, -0.03423655405640602, -0.06258676946163177, -0.03917311877012253, -0.08034131675958633, 0.11297129839658737, 0.025390276685357094, -0.04769432917237282, -0.03863169625401497, 0.04256005212664604, -0.20601604878902435, -0.1793833076953888, 0.024590641260147095, 0.10589557886123657, 0.03979820758104324]"
9,"[-0.1283472180366516, 0.03089175559580326, -0.009710163809359074, 0.16458512842655182, 0.17967697978019714, -0.3971926271915436, 0.06629367917776108, -0.07602271437644958, 0.14722028374671936, -0.09619681537151337, -0.07731117308139801, -0.25151562690734863, -0.0426507405936718, 0.08566788583993912, 0.17960630357265472, -0.08787266910076141, 0.07942704111337662, -0.10069089382886887, -0.0280893724411726, 0.049071017652750015, 0.21025291085243225, 0.20128083229064941, 0.09627998620271683, -0.012189818546175957, -0.016730375587940216, -2.5056158847291954e-05, 0.2219257801771164, 0.014902716502547264, -0.0947546511888504, 0.19445452094078064, -0.022900531068444252, 0.06938069313764572, 0.0874529629945755, -0.13878078758716583, 0.00543321343138814, 0.012358555570244789, -0.20070698857307434, -0.11488132178783417, -0.03242452070116997, 0.0919707790017128, -0.26033657789230347, 0.11744185537099838, -0.03078777715563774, 0.09641754627227783, 0.11305312067270279, 0.29034775495529175, -0.20486876368522644, 0.059321802109479904, 0.04398645833134651, 0.022198500111699104, 0.07797378301620483, 0.21721337735652924, 0.13113786280155182, 0.12758539617061615, -0.18504619598388672, 0.06045118719339371, -0.028054486960172653, 0.2125025987625122, 0.04010913148522377, 0.06931398063898087, -0.199428528547287, -0.04580897465348244, 0.2514634132385254, -0.15911470353603363, 0.13325348496437073, -0.04006369784474373, 0.13377279043197632, 0.021291805431246758, 0.11909617483615875, -0.02893102914094925, -0.016072556376457214, 0.17266497015953064, 0.014338278211653233, 0.026534590870141983, 0.0925694927573204, 0.10254143178462982, 0.06948677450418472, 0.01886707730591297, 0.07104852050542831, 0.0956161692738533, 0.039238497614860535, 0.01395388413220644, -0.06458558887243271, 0.014944829978048801, -0.32394373416900635, -0.036238860338926315, -0.07581422477960587, 0.15749748051166534, -0.12493395060300827, 0.05069189891219139, 0.12360129505395889, -0.08797501027584076, -0.0801117792725563, 0.16772273182868958, 0.1212226152420044, -0.03349652886390686, 0.02079826593399048, 0.03133083134889603, -0.057567767798900604, -0.08147674053907394, 0.16988487541675568, 0.3342255651950836, -0.1983574628829956, 0.016041573137044907, 0.05746021866798401, -0.08429549634456635, -0.016313547268509865, -0.007619052194058895, 0.005242424551397562, 0.04640394449234009, -0.031991567462682724, 0.04374460503458977, -0.18104524910449982, -0.17009468376636505, 0.04932226240634918, 0.05196327716112137, 0.10002792626619339, -0.06977607309818268, -0.1737341284751892, 0.40090128779411316, 0.21391834318637848, 0.09518946707248688, 0.35926541686058044, 0.0003745987778529525, 0.060018956661224365, -0.049943532794713974, 0.029322847723960876, 0.16337010264396667]"
