output_idx,weights
10,"[0.08127323538064957, 0.1707225888967514, 0.0906679704785347, 0.09298670291900635, 0.07469964772462845, -0.24214549362659454, -0.09475750476121902, 0.05747212842106819, -0.02286410517990589, -0.11193596571683884, -0.0430997870862484, -0.05049867182970047, 0.023460157215595245, -0.03961603343486786, -0.09895411133766174, 0.0085246991366148, -0.04535094276070595, -0.005587008781731129, -0.018833301961421967, -0.07007654756307602, 0.12630091607570648, 0.06985790282487869, 0.12672945857048035, 0.05003155767917633, 0.021473893895745277, -0.14499714970588684, -0.06800766289234161, -0.009273913688957691, -0.19752712547779083, -0.12418635934591293, 0.03323724493384361, 0.19993944466114044, -0.047222208231687546, -0.05293227359652519, -0.014819569885730743, -0.05551929399371147, -0.25426074862480164, -0.0820934921503067, 0.008624785579741001, 0.16735683381557465, -0.07755838334560394, 0.058408915996551514, -0.08094119280576706, 0.11510277539491653, -0.1073886826634407, -0.05311591178178787, -0.0034733260981738567, 0.07819675654172897, 0.028017759323120117, -0.004341640044003725, 0.1153797134757042, -0.035865023732185364, 0.16860459744930267, -0.02742527611553669, -0.2907210886478424, -0.019575534388422966, 0.05752072110772133, -0.05951486900448799, -0.09618734568357468, 0.0913042202591896, -0.18015378713607788, -0.10162888467311859, 0.17114734649658203, -0.058317579329013824, 0.16311214864253998, -0.03496382012963295, 0.07425008714199066, 0.17335252463817596, 0.005201180465519428, -0.05939939618110657, 0.12433464080095291, -0.05085825175046921, 0.13617853820323944, 0.13651230931282043, 0.041828300803899765, 0.058012574911117554, -0.056721143424510956, -0.12505589425563812, 0.2282925546169281, 0.10504836589097977, 0.02704530581831932, -0.048059556633234024, -0.06400063633918762, -0.057776227593421936, -0.16838334500789642, -0.03450503945350647, 0.03277453035116196, -0.02505377307534218, 0.06889508664608002, 0.05325178802013397, 0.00428240280598402, -0.17637455463409424, -0.16533076763153076, -0.0429949015378952, 0.04250992834568024, -0.04851937294006348, -0.173166885972023, 0.051399290561676025, -0.1279062181711197, -0.17673711478710175, 0.09321379661560059, 0.15294477343559265, -0.06998342275619507, 0.0637635886669159, 0.004239603411406279, -0.09071271866559982, -0.06471928209066391, -0.07963564991950989, 0.08260508626699448, -0.0056443545036017895, -0.16093477606773376, 0.057187747210264206, -0.008302799426019192, 0.07225880771875381, -0.10660199820995331, -0.04990016296505928, -0.12351388484239578, 0.060012541711330414, 0.00099182000849396, -0.05099485442042351, 0.17376640439033508, -0.17802880704402924, 0.12098952382802963, 0.10172097384929657, -0.10890889912843704, 0.04963331297039986, 0.07242336124181747, -0.020336933434009552]"
11,"[-0.024833502247929573, -0.0402429960668087, 0.05649252235889435, -0.07309334725141525, 0.009125087410211563, -0.06940368562936783, -0.05108732357621193, 0.05353781580924988, -0.02472035214304924, 0.07838153094053268, -0.016392549499869347, -0.0759965106844902, 0.009535779245197773, -0.06632952392101288, -0.07355266809463501, 0.05971566215157509, -0.028726330026984215, 0.0335259884595871, 0.07571028918027878, -0.06343673914670944, -0.0186112429946661, -0.021286115050315857, 0.0856052041053772, -0.015975985676050186, -0.04467508941888809, 0.06647748500108719, -0.039102986454963684, -0.0898849368095398, 0.08422219753265381, -0.03973834961652756, 0.022281045094132423, -0.0006210741703398526, 0.08956799656152725, 0.03818022832274437, -0.03228959068655968, 0.02028937265276909, 0.07816967368125916, 0.021714065223932266, -0.016681624576449394, 0.04446696490049362, -0.06609870493412018, 0.027287039905786514, -0.019736211746931076, 0.039510805159807205, -0.04828960448503494, -0.010081803426146507, 0.07936468720436096, -0.020889325067400932, 0.03610329329967499, -0.004017331637442112, 0.07364742457866669, -0.07522688060998917, 0.06330669671297073, -0.04498155787587166, -0.04134181886911392, 0.0835491493344307, -0.007195805199444294, -0.05939073860645294, -0.06372535973787308, -0.015957685187458992, 0.04609685391187668, -0.020718446001410484, -0.021803485229611397, 0.056684914976358414, 0.023414332419633865, -0.08084246516227722, 0.017910465598106384, -0.09513338655233383, -0.014624142087996006, -0.07221785932779312, 0.078432597219944, -0.07859639823436737, -0.023347282782197, -0.058798301964998245, -0.010747523047029972, 0.02448372170329094, -0.01348387636244297, -0.06007591262459755, -0.03310656547546387, -0.07825079560279846, -0.07265978306531906, 0.029476352035999298, 0.07830420136451721, 0.01885688491165638, -0.08320052176713943, 0.08864396065473557, -0.015039367601275444, -0.001777112134732306, 0.033477094024419785, 0.06868156790733337, 0.023712627589702606, 0.0034263008274137974, -0.029274756088852882, -0.013736866414546967, -0.03315920755267143, -0.0835462436079979, -0.05366335064172745, 0.0574428029358387, -0.05414888635277748, -0.0764620453119278, -0.04530155658721924, 0.06421510130167007, 0.09465805441141129, -0.07411464303731918, 0.08323919028043747, 0.02797027863562107, -0.029807617887854576, -0.07675027847290039, -0.0795668363571167, -0.024836044758558273, -0.06781022995710373, -0.06794212013483047, 0.020717749372124672, 0.024121414870023727, -0.00017326255328953266, -0.0574948750436306, -0.06700441986322403, 0.06931500881910324, 0.06905246526002884, 0.022154029458761215, -0.05491071566939354, 0.010584551841020584, 0.001809961860999465, 0.042449381202459335, 0.06791386008262634, -0.03048931248486042, -0.0651121512055397, 0.01099612470716238]"
12,"[-0.006330581847578287, 0.08515863120555878, -0.10051901638507843, 0.05705512315034866, 0.06316683441400528, -0.009366780519485474, -0.055819522589445114, 0.04310707375407219, -0.07946272194385529, 0.21800249814987183, 0.05355150252580643, 0.22273114323616028, 0.11918510496616364, 0.008011654950678349, -0.03157946839928627, 0.17769832909107208, 0.04080278053879738, -0.09235705435276031, -0.07762192189693451, 0.0012902494054287672, 0.054717518389225006, -0.0025573663879185915, -0.13675923645496368, 0.0012114144628867507, -0.022870216518640518, -0.02605181559920311, 0.04564465582370758, 0.11635914444923401, 0.08137402683496475, 0.07565780729055405, 0.18593592941761017, 0.12279720604419708, 0.08086206018924713, 0.1403602510690689, 0.012586675584316254, -0.08179906755685806, -0.12481696903705597, 0.07715348899364471, -0.05220190808176994, 0.0027622899506241083, 0.1230010911822319, -0.1226128488779068, -0.1114482581615448, 0.05525389686226845, -0.09004223346710205, -0.1350032538175583, 0.03651827573776245, -0.08753342926502228, 0.0006158764590509236, 0.1296764761209488, 0.12189486622810364, 0.012340611778199673, -0.11511710286140442, -0.04981396347284317, 0.14299242198467255, -0.03149300441145897, 0.06227768957614899, -0.17809773981571198, -0.031158719211816788, 0.007021270226687193, -0.003949414473026991, 0.19828860461711884, 0.13657540082931519, 0.02025775983929634, 0.005437535233795643, 0.04871644452214241, 0.052989739924669266, 0.23920838534832, 0.0657624900341034, -0.08277260512113571, -0.026682743802666664, 0.0410127118229866, 0.06986983865499496, 0.018219511955976486, 0.08248669654130936, 0.315256804227829, 0.12263388931751251, 0.12402300536632538, 0.09571190923452377, -0.06398279219865799, -0.04399798810482025, 0.029117099940776825, -0.06392531841993332, -0.04822288453578949, 0.09965980052947998, 0.24193742871284485, -0.04452845826745033, 0.050852369517087936, 0.1084999069571495, -0.09243594855070114, -0.06694193184375763, -0.019380051642656326, -0.05594063922762871, 0.093959279358387, 0.10967224091291428, 0.18543505668640137, -0.025238201022148132, 0.06260132044553757, 0.043976325541734695, -0.07901155948638916, 0.08152954280376434, 0.19733068346977234, 0.1501917988061905, 0.26071301102638245, 0.011262193322181702, -0.05271326005458832, -0.06361884623765945, 0.08080951869487762, -0.10753241926431656, 0.17395764589309692, -0.25514161586761475, -0.03407437726855278, -0.015261334367096424, 0.08965831995010376, 0.23402079939842224, -0.06429942697286606, 0.1262633055448532, -0.009039136581122875, 0.1183185875415802, -0.16383127868175507, 0.17968058586120605, -0.13628359138965607, -0.018945064395666122, -0.13449621200561523, 0.2198573648929596, 0.1870354413986206, 0.05245384946465492, -0.13272830843925476]"
13,"[-0.08439517021179199, -0.03443725407123566, 0.008603989146649837, -0.059478044509887695, 0.08272133767604828, 0.07309352606534958, 0.05438458174467087, 0.02188323624432087, -0.027697868645191193, 0.05433349683880806, 0.09139282256364822, -0.017702840268611908, -0.050559137016534805, -0.012300455942749977, -0.03421410918235779, -0.035133540630340576, -0.0031054662540555, -0.009859062731266022, -0.08085498958826065, 0.02486574836075306, 0.09698782861232758, -0.05973993241786957, 0.026517409831285477, 0.008349915966391563, -0.057421814650297165, -0.045902445912361145, -0.05024808645248413, 0.09298457950353622, -0.06590580195188522, 0.05322444438934326, -0.03379233554005623, -0.09422203153371811, -0.043120089918375015, -0.010685179382562637, 0.01645585522055626, 0.003992005251348019, -0.0911308228969574, -0.07319479435682297, -0.03995153680443764, -0.047142550349235535, 0.00596974790096283, -0.09197524189949036, -0.040123067796230316, -0.038287173956632614, 0.014310695230960846, -0.0910801962018013, 0.06731929630041122, -0.0027309171855449677, -0.033233892172575, 0.00997793860733509, -0.06792721152305603, 0.07521506398916245, -0.045019589364528656, -0.08014703541994095, -0.0460921935737133, 0.05012828856706619, -0.06701163947582245, -0.0659046396613121, 0.0021160554606467485, -0.01241672970354557, 0.034551117569208145, -0.0910286009311676, 0.004475138615816832, -0.02480294555425644, 0.04231477901339531, 0.016206195577979088, 0.07993367314338684, -0.006072855554521084, -0.016918107867240906, 0.08345173299312592, 0.038676004856824875, 0.05680868774652481, -0.02253434620797634, 0.07053399831056595, 0.03769727423787117, -0.0496375598013401, 0.04345686733722687, 0.006432713009417057, -0.09584938734769821, 0.06669282913208008, 0.038764651864767075, -0.02691541239619255, -0.07619807869195938, -0.06210973486304283, -0.11607462912797928, 0.005892748478800058, -0.05643231049180031, -0.09284596890211105, 0.042150579392910004, -0.004462831653654575, -0.006921856664121151, -0.014382593333721161, -0.08076973259449005, -0.04669840261340141, -0.030681859701871872, 0.09506680816411972, 0.017021073028445244, 0.10265828669071198, 0.07674958556890488, -0.009920060634613037, 0.009799602441489697, 0.07839200645685196, 0.030929507687687874, -0.1011078804731369, -0.08775489032268524, 0.02183622308075428, 0.036494750529527664, -0.01151140034198761, -0.0698671042919159, 0.04921823740005493, 0.04401114210486412, 0.04000736027956009, -0.05952480062842369, 0.06542319059371948, -0.0830630362033844, -0.05076330527663231, 0.03448738902807236, 0.07894837856292725, -0.04978856444358826, 0.14142905175685883, 0.011854903772473335, -0.05667881295084953, 0.06647097319364548, 0.04151226207613945, 0.025839203968644142, 0.019705381244421005, 0.023995252326130867, 0.002756841015070677]"
14,"[-0.08978797495365143, 0.20374979078769684, -0.1295793205499649, -0.012058167718350887, 0.060370489954948425, -0.023734910413622856, 0.0017519105458632112, 0.01764238066971302, 0.06430172920227051, 0.15661965310573578, -0.11855972558259964, -0.07846609503030777, -0.00026187923504039645, -0.022311097010970116, -0.01957998052239418, -0.006802769377827644, 0.04191286861896515, 0.06490514427423477, 0.026367394253611565, 0.065437451004982, -0.1583871692419052, -0.07473232597112656, 0.014788862317800522, 0.01912105642259121, 0.01178600825369358, 0.13877710700035095, 0.10739416629076004, 0.03434421867132187, -0.10095394402742386, 0.0752139687538147, -0.05418487638235092, -0.034825000911951065, -0.023748982697725296, -0.11749406903982162, 0.06642575562000275, 0.05541425570845604, 0.026036016643047333, 0.016292497515678406, 0.15814907848834991, 0.11304695904254913, -0.23887498676776886, 0.01236344501376152, 0.0968945175409317, 0.07121991366147995, 0.13828909397125244, -0.008560143411159515, -0.13370345532894135, -0.057723838835954666, 0.029056215658783913, -0.08783473819494247, 0.050024256110191345, -0.11640047281980515, 0.12676307559013367, -0.03769157454371452, -0.2372399866580963, 0.07077895849943161, -0.08261243253946304, 0.011313563212752342, 0.0959300845861435, 0.021806534379720688, -0.12683475017547607, -0.1442979872226715, -0.026372628286480904, -0.1366811990737915, 0.1659207046031952, -0.0048884060233831406, 0.08733717352151871, -0.09311318397521973, 0.00012144459469709545, 0.01137236412614584, -0.1484033167362213, 0.1660749465227127, -0.012992145493626595, 0.17784780263900757, 0.22432899475097656, -0.03846028447151184, -0.14170898497104645, -0.05014612898230553, 0.0072017852216959, 0.19166214764118195, -0.08677206933498383, 0.06637407839298248, 0.002802362199872732, -0.09338481724262238, -0.17791607975959778, 0.03939718380570412, 0.07474742084741592, -0.1230892539024353, -0.09673953056335449, -0.0019093529554083943, -0.030397292226552963, -0.09171338379383087, -0.13711023330688477, 0.03269238397479057, -0.06482917070388794, 0.05130352824926376, -0.023319058120250702, 0.0896654799580574, -0.03660691902041435, -0.2284928262233734, -0.03624780848622322, 0.16153882443904877, -0.1516835242509842, -0.15101104974746704, 0.1566210687160492, 0.02989780344069004, -0.011520716361701488, 0.029843727126717567, -0.04881083965301514, -0.15743641555309296, 0.012567070312798023, 0.0630170926451683, -0.03408404439687729, 0.009893021546304226, -0.14934641122817993, -0.07763127982616425, 0.12698771059513092, 0.018782785162329674, -0.022975293919444084, 0.2289333939552307, -0.18027269840240479, -0.09080713242292404, -0.055558942258358, 0.12714701890945435, -0.10642214864492416, 0.0780811682343483, 0.08472740650177002, -0.021805057302117348]"
15,"[0.12255867570638657, 0.15243585407733917, -0.021588250994682312, 0.19235557317733765, 0.15286248922348022, 0.10773764550685883, -0.10330063849687576, 0.08499569445848465, 0.24454593658447266, 0.24366958439350128, 0.12200845032930374, 0.1503654420375824, -0.08072643727064133, 0.011289681307971478, 0.0556885227560997, -0.055008597671985626, -0.15208075940608978, 0.25931909680366516, -0.06871209293603897, -0.07228153198957443, -0.33188170194625854, -0.12853729724884033, -0.35876163840293884, 0.058374207466840744, 0.0870305523276329, -0.06361408531665802, 0.21470171213150024, 0.011544142849743366, -0.002099086996167898, 0.1254519522190094, -0.27528223395347595, -0.18456022441387177, 0.15681840479373932, 0.16893768310546875, 0.08094918727874756, -0.026394523680210114, 0.17953018844127655, 0.1758764684200287, 0.10337374359369278, 0.1843147873878479, 0.00016681513807270676, -0.21778492629528046, 0.12874284386634827, -0.04695310816168785, -0.09568321704864502, 0.1563625931739807, -0.18761540949344635, -0.048570580780506134, -0.03883204609155655, -0.019143469631671906, 0.0371604785323143, -0.1663604974746704, -0.03334954008460045, 0.11726590245962143, 0.2214139997959137, 0.23243096470832825, -0.03973422572016716, -0.06465626507997513, 0.007557080127298832, -0.2116524875164032, 0.11840800940990448, 0.17349867522716522, 0.033314887434244156, 0.08267010003328323, -0.015571217983961105, -0.025118302553892136, 0.013868708163499832, -0.41213876008987427, 0.06110835075378418, -0.06392355263233185, -0.4062875807285309, 0.015487957745790482, 0.030257100239396095, 0.07571492344141006, -0.2514305114746094, -0.11281075328588486, 0.09486074000597, 0.10090982913970947, -0.4031979739665985, 0.167890727519989, 0.06792283803224564, 0.015292043797671795, 0.05584648624062538, 0.04319336637854576, -0.13787618279457092, -0.11189039796590805, 0.05962703377008438, 0.13403120636940002, -0.008952734060585499, -0.24190014600753784, 0.030157238245010376, 0.3176913261413574, -0.16325309872627258, 0.02888130396604538, 0.005852262489497662, 0.22114558517932892, -0.06324667483568192, 0.07460521906614304, 0.04885812848806381, -0.12845134735107422, 0.003524075960740447, 0.10666202008724213, -0.009700614027678967, 0.08401703834533691, 0.14292418956756592, 0.07275515794754028, -0.0008119558915495872, 0.05666610226035118, -0.4630611836910248, 0.17952823638916016, 0.3506757318973541, 0.052152108401060104, 0.07815549522638321, -0.0451650507748127, 0.21386763453483582, -0.04454336687922478, -0.0026110555045306683, 0.05193132162094116, -0.013610802590847015, 0.2860897481441498, -0.2250426709651947, 0.294238418340683, -0.046887557953596115, 0.23590534925460815, 0.33770474791526794, 0.5141881704330444, 0.33330169320106506, 0.07507582753896713]"
16,"[0.3362458646297455, 0.18299803137779236, -0.039764076471328735, 0.01544972788542509, -0.06435590237379074, 0.37448129057884216, -0.035546742379665375, -0.011284640058875084, -0.27427107095718384, 0.1155770868062973, 0.037674739956855774, 0.030023423954844475, -0.091847725212574, 0.08170295506715775, -0.20489199459552765, -0.051223304122686386, -0.011324163526296616, -0.12328260391950607, 0.05549326539039612, 0.0314800962805748, 0.06422875821590424, -0.0936562791466713, 0.18358682096004486, -0.08865535259246826, -0.0017894775373861194, 0.12798045575618744, -0.010240890085697174, 0.27454644441604614, -0.09624610096216202, 0.048859309405088425, -0.14215439558029175, 0.12526096403598785, -0.14215806126594543, 0.06010968238115311, 0.05383990332484245, 0.05150014907121658, 0.25957468152046204, 0.18197740614414215, 0.022282075136899948, 0.027203328907489777, 0.001469306880608201, -0.12309178709983826, -0.029037758708000183, 0.19607871770858765, 0.12208772450685501, -0.18177177011966705, 0.13906894624233246, 0.0456075556576252, -0.06679028272628784, 0.1146298497915268, -0.1574556827545166, -0.18761631846427917, 0.10878238081932068, -0.008753693662583828, 0.07618497312068939, -0.06828471273183823, -0.0633610412478447, -0.0983927845954895, -0.09656468033790588, 0.17896468937397003, 0.09094549715518951, -0.1535315215587616, -0.15458160638809204, 0.011480097658932209, 0.0731661468744278, -0.06467976421117783, 0.08472553640604019, 0.24018225073814392, 0.13788075745105743, 0.06358978152275085, 0.0056137507781386375, 0.19841299951076508, 0.005072984844446182, 0.11557414382696152, 0.08198986947536469, 0.13852186501026154, -0.3316226601600647, -0.04673481360077858, 0.23849645256996155, -0.053991712629795074, -0.016504446044564247, 0.05145655572414398, 0.05352464318275452, -0.1480974406003952, 0.21183666586875916, 0.15600483119487762, -0.09604736417531967, -0.2949013411998749, 0.05696740373969078, 0.04625914618372917, -0.04987143352627754, 0.03097548335790634, 0.11652427911758423, -0.18119601905345917, 0.026138542219996452, -0.07711035013198853, -0.22280749678611755, 0.06329505145549774, 0.05163731053471565, -0.14319536089897156, -0.2204761505126953, -0.2566097378730774, 0.20215266942977905, -0.05686117708683014, 0.04050930216908455, 0.21944595873355865, 0.07177890837192535, -0.13778343796730042, -0.005076572299003601, -0.10976634174585342, 0.10393105447292328, -0.15284693241119385, 0.2129340022802353, 0.2239319533109665, -0.08512687683105469, 0.046976763755083084, 0.199258491396904, -0.03575367480516434, -0.06478163599967957, -0.26636263728141785, 0.13406702876091003, -0.27394357323646545, -0.21992528438568115, -0.08937495946884155, -0.12111928313970566, 0.016076762229204178, -0.09732196480035782, 0.15361836552619934]"
17,"[0.19251231849193573, 0.054200030863285065, -0.21273379027843475, 0.06278056651353836, 0.1712709218263626, 0.519206702709198, -0.10851734131574631, 0.021399833261966705, -0.08612190932035446, 0.07573170214891434, -0.2705678641796112, 0.04733175039291382, 0.03392166271805763, -0.06530869007110596, -0.09407302737236023, 0.11448225378990173, 0.1360875517129898, -0.20449183881282806, 0.03753037378191948, -0.009902571327984333, -0.17173966765403748, -0.1632934957742691, 0.03329441696405411, -0.07447389513254166, -0.05939200147986412, 0.14354895055294037, 0.1829955130815506, 0.02483471669256687, 0.046501316130161285, 0.09616267681121826, 0.11285549402236938, -0.02109873853623867, -0.05816541984677315, -0.18049611151218414, -0.05687827616930008, -0.0234434325248003, 0.16848933696746826, 0.06390661001205444, -0.2768673300743103, -0.10727889090776443, -0.07962346822023392, 0.03605144843459129, 0.04385058209300041, 0.29395368695259094, -0.07704614102840424, 0.023477762937545776, -0.05430782213807106, -0.09078718721866608, -0.06176561117172241, 0.14224094152450562, -0.05811782553792, -0.22747349739074707, 0.12360087782144547, 0.1343061476945877, 0.3743923008441925, 0.006446759682148695, 0.07443996518850327, 0.19278913736343384, -0.10460573434829712, 0.0685955062508583, 0.2667667865753174, 0.06418632715940475, -0.030526001006364822, 0.0719248503446579, -0.27875107526779175, -0.03805539011955261, 0.17347665131092072, 0.1391027420759201, 0.14129045605659485, -0.0950457900762558, -0.09845911711454391, 0.05230092257261276, -0.09776268899440765, -0.13652020692825317, -0.32351160049438477, -0.2561759054660797, 0.06737108528614044, 0.15207253396511078, -0.029710356146097183, -0.13641376793384552, -0.003286337712779641, 0.11528928577899933, -0.027638573199510574, 0.006536017172038555, 0.2566682994365692, 0.14907443523406982, -0.020967015996575356, -0.0017311177216470242, 0.014037435874342918, -0.09903055429458618, -0.18349136412143707, -0.008891328237950802, 0.44097188115119934, -0.06521196663379669, 0.23402424156665802, -0.1296800822019577, 0.04370458424091339, -0.026855748146772385, -0.020109517499804497, -0.018610024824738503, -0.024580033496022224, -0.08913075923919678, 0.12934699654579163, -0.15177014470100403, 0.07035858929157257, 0.42797595262527466, 0.08190266788005829, -0.17979153990745544, -0.315498024225235, 0.19159305095672607, 0.28238645195961, -0.09130753576755524, 0.03546540439128876, 0.2322087436914444, 0.21195727586746216, -0.05532515421509743, -0.16108593344688416, -0.10486871749162674, 0.10022584348917007, -0.0838858038187027, 0.29223522543907166, 0.2459017038345337, -0.20135466754436493, -0.1676865667104721, -0.07064337283372879, -0.09709455817937851, -0.09029940515756607, 0.22174100577831268]"
18,"[0.1608491837978363, 0.011778085492551327, 0.04842952638864517, -0.04354250058531761, 0.002122166333720088, 0.29656413197517395, 0.10901091247797012, -0.008874264545738697, 0.12679436802864075, 0.15903902053833008, 0.1054452657699585, 0.15896297991275787, -0.08374294638633728, 0.009637830778956413, 0.14356684684753418, -0.0989438071846962, 0.05055835098028183, 0.13794562220573425, -0.0804578959941864, -0.0999438613653183, -0.2005498856306076, -0.1309250295162201, -0.16365985572338104, 0.0006108023808337748, 0.005289526656270027, 0.1772446632385254, -0.044654134660959244, -0.09980834275484085, -0.08942504972219467, 0.13488097488880157, -0.2542322278022766, -0.22874349355697632, -0.09990555793046951, 0.04705466330051422, 0.06736026704311371, 0.08707273751497269, -0.01573583483695984, 0.11953818798065186, 0.11841883510351181, 0.11764147132635117, 0.02428501285612583, -0.023697542026638985, 0.20585282146930695, -0.08905978500843048, 0.16637443006038666, -0.15185509622097015, -0.02165938727557659, 0.0716024711728096, -0.0508161336183548, -0.11250706017017365, 0.01816653273999691, 0.0031547623220831156, 0.07665891945362091, 0.19453994929790497, 0.041272763162851334, 0.0765397846698761, -0.08807250112295151, -0.17980310320854187, 0.0750027671456337, -0.020427778363227844, 0.021154185757040977, 0.001817395444959402, -0.16651223599910736, -0.098909892141819, 0.06446021050214767, 0.04654413461685181, 0.15262392163276672, -0.0437624454498291, -0.05015294626355171, -0.04124189168214798, 0.052363425493240356, 0.11501732468605042, -0.1460050493478775, 0.06838122010231018, 0.06031114235520363, 0.12848062813282013, -0.009917705319821835, -0.036836590617895126, -0.15567940473556519, 0.08346027135848999, 0.025358371436595917, 0.03094044327735901, -0.02306973934173584, 0.009890139102935791, 0.16399578750133514, -0.09799983352422714, 0.1259698122739792, -0.11832605302333832, 0.017063505947589874, 0.04005422070622444, -0.0238896906375885, -0.11665016412734985, 0.17260845005512238, 0.057899631559848785, -0.3007248342037201, -0.06270965933799744, 0.021415865048766136, 0.020833542570471764, -0.029915140941739082, 0.0708499327301979, -0.2791839838027954, -0.15486423671245575, -0.06989365071058273, -0.013158692978322506, 0.19084058701992035, 0.1253386288881302, -0.04569394513964653, -0.0042092399671673775, -0.03455192223191261, -0.12065357714891434, -0.052298493683338165, -0.060227371752262115, 0.1421383172273636, 0.08164958655834198, -0.2413327693939209, 0.042392123490571976, 0.028661290183663368, 0.012280929833650589, 0.14922332763671875, -0.04578162357211113, 0.0121486010029912, 0.05452226474881172, -0.23534567654132843, 0.1703186333179474, -0.028786057606339455, -0.11620691418647766, -0.13915812969207764, -0.1563606858253479]"
19,"[-0.10383253544569016, 0.18802079558372498, 0.08510443568229675, -0.09391472488641739, 0.12323222309350967, 0.007581180427223444, -0.02818339318037033, 0.08254707604646683, -0.1493365466594696, 0.0670948401093483, -0.2326054573059082, 0.1187656819820404, 0.15830262005329132, -0.08356775343418121, 0.11881065368652344, 0.24536412954330444, 0.2539304494857788, -0.2391427457332611, -0.08185860514640808, -0.1074879989027977, 0.2093050330877304, 0.12036263942718506, -0.007401077076792717, -0.06401480734348297, -0.020189398899674416, 0.029422642663121223, 0.3145882785320282, 0.1620960384607315, -0.15895816683769226, -0.005426062736660242, -0.10851795226335526, 0.37139949202537537, -0.07288581877946854, -0.17173440754413605, -0.011894024908542633, 0.0069345468655228615, -0.20735016465187073, -0.033266156911849976, -0.18780335783958435, -0.09820497035980225, 0.040380723774433136, 0.09023226797580719, -0.1015138104557991, -0.005181815009564161, -0.05502834916114807, -0.012472691014409065, 0.0833810418844223, 0.12471333146095276, 0.04644530266523361, 0.25340694189071655, 0.04476507380604744, 0.07321233302354813, -0.060008544474840164, 0.13310134410858154, -0.12018867582082748, -0.05142781883478165, -0.03970034047961235, 0.07437168061733246, 0.16320379078388214, -0.10308218002319336, -0.1632249653339386, -3.9858998206909746e-05, 0.032513558864593506, -0.14549049735069275, -0.10239749401807785, -0.014466783031821251, 0.22563277184963226, 0.2850559949874878, 0.11333329975605011, 0.1730174571275711, 0.13713325560092926, 0.04868931695818901, -0.2797626852989197, 0.06316385418176651, 0.1922118067741394, 0.005150203127413988, -0.11976934969425201, -0.016561876982450485, 0.09465353190898895, -0.1840926557779312, 0.05324534326791763, 0.18838515877723694, 0.051641352474689484, 0.06019924581050873, 0.06294521689414978, 0.1155858188867569, -0.12923654913902283, -0.13742119073867798, 0.03389161080121994, 0.07152857631444931, 0.12255372107028961, -0.3010042607784271, -0.05989982932806015, 0.06409086287021637, 0.06487405300140381, 0.012129361741244793, -0.07324426621198654, 0.09254083782434464, -0.07792622596025467, -0.029328232631087303, 0.11335773020982742, 0.13825389742851257, 0.24543209373950958, -0.10174252837896347, 0.08819220960140228, -0.11938104778528214, 0.05837247520685196, 0.24579432606697083, 0.07731062918901443, 0.07466187328100204, -0.07600851356983185, -0.08171948045492172, -0.07065733522176743, -0.11415526270866394, 0.0001412451674696058, -0.06627388298511505, -0.1229369267821312, -0.09330495446920395, 0.24426062405109406, -0.28680506348609924, 0.16532503068447113, -0.28062039613723755, 0.03520277142524719, -0.20627915859222412, 0.07960974425077438, -0.2697165608406067, -0.1268872320652008, 0.12398563325405121]"
