output_idx,bias_value
0,0.008964296
1,-0.014929864
2,-0.032076474
3,0.028724888
4,0.026895959
5,0.007389074
6,-0.035895888
7,0.0042135064
8,0.022320038
9,-0.025263414
10,-0.03524683
11,-0.031347767
12,-0.021713423
13,-0.018317034
14,0.02819962
15,0.0063621034
16,-0.030497592
17,-0.020433685
18,-0.014166831
19,0.014557987
20,0.019937612
21,-0.012984731
22,-0.021511072
23,-0.02812778
24,0.031040896
25,0.029902766
26,0.0061071157
27,0.03222683
28,-0.030661015
29,-0.004443306
30,-0.03466949
31,0.02297167
32,0.0046333014
33,-0.034345213
34,0.028317438
35,-0.00061788113
36,-0.01808155
37,0.021759966
38,-0.021871315
39,0.009980253
40,0.014001716
41,0.00551084
42,-0.017287612
43,0.01076138
44,0.0031718295
45,0.01593199
46,-0.040177263
47,0.0032031978
48,-0.00072824577
49,-0.005602307
50,-0.0029690873
51,-0.01566389
52,0.042755254
53,0.039063457
54,-0.0019967207
55,-0.019563146
56,-0.0070202015
57,0.02227339
58,-0.035922263
59,0.0086863255
60,-0.009900666
61,-0.021614622
62,0.023934428
63,0.025260035
64,-0.025344959
65,-0.007610911
66,-0.02558287
67,-0.0064748
68,0.011514937
69,-0.035811584
70,0.030989083
71,0.0349082
72,0.019946557
73,0.023285415
74,-0.02351906
75,0.011625482
76,-0.023792861
77,0.0058522923
78,-0.014846398
79,-0.010593156
80,0.009260961
81,0.022025218
82,0.003439342
83,-0.0042111655
84,-0.011312333
85,-0.01655905
86,-0.015702495
87,0.01183011
88,0.0066758767
89,0.03457172
90,-0.029384235
91,-0.015705695
92,-0.024310173
93,0.018996762
94,0.029930115
95,0.026996734
96,-0.028342025
97,0.016721217
98,0.034416795
99,0.031187171
100,-0.0031764568
101,0.0032457204
102,-0.02272222
103,-0.0058904807
104,-0.00048514194
105,0.030513586
106,0.03370388
107,-0.020383608
108,0.022491856
109,0.0007191016
110,-0.033250708
111,0.024489231
112,-0.0021570204
113,-0.02042928
114,0.007914732
115,-0.01671104
116,0.0070635476
117,0.035054363
118,-0.0047886143
119,-0.023538332
120,0.017132683
121,0.02195364
122,-0.009075632
123,-0.03405201
124,-0.01691811
125,0.031945273
126,-0.024748897
127,-0.00872422
